exchange,session_date,is_open
NSE,2026-01-01,true
NSE,2026-01-02,true
NSE,2026-01-05,true
NSE,2026-01-06,true
NSE,2026-01-07,true
NSE,2026-01-08,true
NSE,2026-01-09,true
NSE,2026-01-12,true
NSE,2026-01-13,true
NSE,2026-01-14,true
NSE,2026-01-15,true
NSE,2026-01-16,true
NSE,2026-01-19,true
NSE,2026-01-20,true
NSE,2026-01-21,true
NSE,2026-01-22,true
NSE,2026-01-23,true
NSE,2026-01-27,true
NSE,2026-01-28,true
NSE,2026-01-29,true
NSE,2026-01-30,true
NSE,2026-02-02,true
NSE,2026-02-03,true
NSE,2026-02-04,true
NSE,2026-02-05,true
NSE,2026-02-06,true
NSE,2026-02-09,true
NSE,2026-02-10,true
NSE,2026-02-11,true
NSE,2026-02-12,true
NSE,2026-02-13,true
NSE,2026-02-16,true
NSE,2026-02-17,true
NSE,2026-02-18,true
NSE,2026-02-19,true
NSE,2026-02-20,true
NSE,2026-02-23,true
NSE,2026-02-24,true
NSE,2026-02-25,true
NSE,2026-02-26,true
NSE,2026-02-27,true
NSE,2026-03-02,true
NSE,2026-03-03,true
NSE,2026-03-04,true
NSE,2026-03-05,true
NSE,2026-03-06,true
NSE,2026-03-09,true
NSE,2026-03-10,true
NSE,2026-03-11,true
NSE,2026-03-12,true
NSE,2026-03-13,true
NSE,2026-03-16,true
NSE,2026-03-17,true
NSE,2026-03-18,true
NSE,2026-03-19,true
NSE,2026-03-20,true
NSE,2026-03-23,true
NSE,2026-03-24,true
NSE,2026-03-25,true
NSE,2026-03-26,true
NSE,2026-03-27,true
NSE,2026-03-30,true
NSE,2026-03-31,true
NSE,2026-04-01,true
NSE,2026-04-02,true
NSE,2026-04-03,true
NSE,2026-04-06,true
NSE,2026-04-07,true
NSE,2026-04-08,true
NSE,2026-04-09,true
NSE,2026-04-10,true
NSE,2026-04-13,true
NSE,2026-04-15,true
NSE,2026-04-16,true
NSE,2026-04-17,true
NSE,2026-04-20,true
NSE,2026-04-21,true
NSE,2026-04-22,true
NSE,2026-04-23,true
NSE,2026-04-24,true
NSE,2026-04-27,true
NSE,2026-04-28,true
NSE,2026-04-29,true
NSE,2026-04-30,true
NSE,2026-05-01,true
NSE,2026-05-04,true
NSE,2026-05-05,true
NSE,2026-05-06,true
